surname;amount
Bremnes;540
Bremseth;292
Brenden;1103
Brenna;957
Brenne;712
Brevig;227
Brevik;1677
Bringedal;258
Brobakken;272
Broch;227
Brodahl;273
Brodersen;202
Broen;303
Brovold;571
Brown;418
Brox;477
Bru;544
Bruaset;211
Brubakken;210
Brudevoll;213
Brudvik;221
Bruheim;256
Bruland;650
Brun;1015
Brunborg;252
Brunes;309
Brunstad;374
Brunvoll;284
Brustad;805
Bruun;997
Bruvik;597
Bruvoll;306
Bryhn;379
Bryn;479
Bryne;299
Brynildsen;576
Brynjulfsen;308
Brække;214
Brækken;216
Brænd;204
Brænden;241
Brøndbo;333
Brønstad;313
Bråten;2795
Bråthen;3261
Bu;282
Buan;255
Bue;370
Buene;264
Buer;742
Bugge;1398
Bugten;234
Bui;484
Buljo;318
Bull;750
Bunes;412
Buraas;202
Burud;205
Busch;422
Busk;202
Butt;865
Buvarp;215
Buvik;329
By;472
Byberg;836
Bye;2403
Byrkjeland;307
Bystrøm;.
Bækken;316
Bærheim;235
Bævre;360
Bø;2465
Bødtker;200
Bøe;4178
Bøen;474
Bøhler;348
Bøhmer;200
Bøhn;663
Børnes;203
Børresen;1805
Børseth;326
Børsheim;234
Børstad;289
Børve;444
Bøthun;263
Bøyum;360
Bårdsen;930
Båtnes;.
Cao;210
Cappelen;264
Carlsen;2745
Carlson;248
Carlsson;471
Caspersen;447
Celik;214
Celius;257
Chan;258
Chaudhry;389
Chen;588
Christensen;6166
Christiansen;3671
Christoffersen;1332
Christophersen;440
Clausen;1177
Claussen;337
Corneliussen;796
Daae;388
Dagestad;305
Dagsland;303
Dahir;402
Dahl;11296
Dahlberg;692
Dahle;3244
Dahlen;1172
Dahlgren;229
Dahlstrøm;362
Dalaker;205
Dalby;382
Dale;3352
Dalen;2448
Dalene;334
Daleng;211
Dalhaug;287
Dalheim;480
Dalland;463
Dalsbø;220
Dalseth;211
Dammen;583
Dang;469
Daniel;219
Danielsen;5415
Dar;221
David;215
Davidsen;1834
Dehli;299
Demir;228
Derås;210
Devik;265
Devold;274
Didriksen;1057
Diesen;219
Digernes;366
Digre;265
Dimmen;397
Dinh;248
Dirdal;373
Ditlefsen;377
Djupvik;487
Djuve;215
Djønne;248
Do;375
Doan;263
Dokken;718
Drabløs;317
Drage;351
Drageset;220
Dragland;237
Dramstad;209
Drange;685
Drevland;222
Dreyer;539
Drivenes;295
Drønen;317
Due;304
Duong;334
Dvergsdal;299
Dyb;398
Dybdahl;476
Dybdal;284
Dybvik;960
Dybwad;234
Dyngeland;324
Dyrdal;327
Dyrhaug;270
Dyrkorn;219
Dyrnes;533
Dyrseth;278
Dyrstad;367
Dyrøy;267
Dørum;479
Ebbesen;343
Eckhoff;326
Edland;521
Edvardsen;4733
Edvartsen;208
Eeg;213
Eek;472
Ege;391
Egeberg;446
Egeland;2536
Egeli;319
Egenes;209
Eggan;234
Egge;788
Eggen;1830
Eggum;319
Eid;625
Eide;8454
Eidem;1089
Eidet;280
Eidissen;466
Eidsheim;200
Eidsvik;292
Eidsvåg;227
Eie;635
Eik;935
Eike;429
Eikeland;2258
Eikemo;443
Eiken;485
Eikenes;483
Eikrem;871
Eikås;335
Eilertsen;3199
Einan;221
Einarsen;926
Einvik;241
Eira;632
Ek;612
